NiveauEtude,SujetCours,ResponsableEleve,NbFoisLeverMain,MoyenneLeverMainEleve,MoyenneLeverMainClasse,NbFoisEtudiantVisiteContenuCours,MoyenneVisiteContenuCoursEleve,MoyenneVisiteContenuCoursClasse,NbFoisUtilisateurCheckAnnonces,MoyenneCheckAnnoncesEleve,MoyenneCheckAnnoncesClasse,NbFoisUtilisateurParticipeDiscussionsGroupe,MoyenneParticipationsDiscussionsEleve,MoyenneParticipationsDiscussionsClasse,NbFoisParticipationEleve,MoyenneParticipationEleve,MoyenneParticipationClasse,ParentsOntRepondusSondagesEcole,ParentsSatisfaitsEcole,NbJoursAbsence,NiveauEleveNotes,NiveauEleveChiffre,PositionMoyenne,MoyenneClasse,PositionMoyenneClasse
Lycee,Anglais,Pere,55,DessusMoyenne,"46,775",90,DessusMoyenne,"54,79792",16,DessousMoyenne,"37,91875",40,DessousMoyenne,"43,28333",201,DessusMoyenne,"182,775",Non,Non,Moins7Absences,Moyen,2,DessusMoyenne,"2,03125",DessousMoyenne
Lycee,Sciences,Mere,49,DessusMoyenne,"46,775",70,DessusMoyenne,"54,79792",19,DessousMoyenne,"37,91875",75,DessusMoyenne,"43,28333",213,DessusMoyenne,"182,775",Oui,Oui,Moins7Absences,Eleve,3,DessusMoyenne,"2,03125",DessusMoyenne
Lycee,Anglais,Mere,12,DessousMoyenne,"46,775",50,DessousMoyenne,"54,79792",8,DessousMoyenne,"37,91875",30,DessousMoyenne,"43,28333",100,DessousMoyenne,"182,775",Non,Non,Plus7Absences,Bas,1,DessousMoyenne,"2,03125",DessousMoyenne
College,Mathematiques,Pere,16,DessousMoyenne,"46,775",14,DessousMoyenne,"54,79792",6,DessousMoyenne,"37,91875",20,DessousMoyenne,"43,28333",56,DessousMoyenne,"182,775",Oui,Oui,Plus7Absences,Bas,1,DessousMoyenne,"2,03125",DessousMoyenne
College,Mathematiques,Pere,19,DessousMoyenne,"46,775",5,DessousMoyenne,"54,79792",4,DessousMoyenne,"37,91875",1,DessousMoyenne,"43,28333",29,DessousMoyenne,"182,775",Oui,Oui,Plus7Absences,Bas,1,DessousMoyenne,"2,03125",DessousMoyenne
College,Mathematiques,Pere,5,DessousMoyenne,"46,775",2,DessousMoyenne,"54,79792",6,DessousMoyenne,"37,91875",5,DessousMoyenne,"43,28333",18,DessousMoyenne,"182,775",Oui,Oui,Plus7Absences,Bas,1,DessousMoyenne,"2,03125",DessousMoyenne
College,Mathematiques,Pere,28,DessousMoyenne,"46,775",60,DessusMoyenne,"54,79792",19,DessousMoyenne,"37,91875",50,DessusMoyenne,"43,28333",157,DessousMoyenne,"182,775",Oui,Oui,Moins7Absences,Moyen,2,DessusMoyenne,"2,03125",DessousMoyenne
College,Mathematiques,Pere,27,DessousMoyenne,"46,775",22,DessousMoyenne,"54,79792",22,DessousMoyenne,"37,91875",40,DessousMoyenne,"43,28333",111,DessousMoyenne,"182,775",Non,Oui,Moins7Absences,Moyen,2,DessusMoyenne,"2,03125",DessousMoyenne
MaternelleElementaire,Anglais,Mere,21,DessousMoyenne,"46,775",10,DessousMoyenne,"54,79792",28,DessousMoyenne,"37,91875",20,DessousMoyenne,"43,28333",79,DessousMoyenne,"182,775",Non,Oui,Plus7Absences,Bas,1,DessousMoyenne,"2,03125",DessousMoyenne
Lycee,Informatique,Pere,50,DessusMoyenne,"46,775",70,DessusMoyenne,"54,79792",32,DessousMoyenne,"37,91875",40,DessousMoyenne,"43,28333",192,DessusMoyenne,"182,775",Oui,Oui,Moins7Absences,Moyen,2,DessusMoyenne,"2,03125",DessousMoyenne
Lycee,Informatique,Mere,80,DessusMoyenne,"46,775",90,DessusMoyenne,"54,79792",70,DessusMoyenne,"37,91875",80,DessusMoyenne,"43,28333",320,DessusMoyenne,"182,775",Oui,Oui,Moins7Absences,Eleve,3,DessusMoyenne,"2,03125",DessusMoyenne
Lycee,Informatique,Pere,17,DessousMoyenne,"46,775",13,DessousMoyenne,"54,79792",16,DessousMoyenne,"37,91875",12,DessousMoyenne,"43,28333",58,DessousMoyenne,"182,775",Oui,Non,Moins7Absences,Moyen,2,DessusMoyenne,"2,03125",DessousMoyenne
Lycee,Informatique,Pere,0,DessousMoyenne,"46,775",5,DessousMoyenne,"54,79792",7,DessousMoyenne,"37,91875",2,DessousMoyenne,"43,28333",14,DessousMoyenne,"182,775",Non,Non,Plus7Absences,Bas,1,DessousMoyenne,"2,03125",DessousMoyenne
Lycee,Anglais,Pere,13,DessousMoyenne,"46,775",5,DessousMoyenne,"54,79792",18,DessousMoyenne,"37,91875",19,DessousMoyenne,"43,28333",55,DessousMoyenne,"182,775",Non,Non,Plus7Absences,Bas,1,DessousMoyenne,"2,03125",DessousMoyenne
Lycee,Anglais,Pere,25,DessousMoyenne,"46,775",10,DessousMoyenne,"54,79792",19,DessousMoyenne,"37,91875",30,DessousMoyenne,"43,28333",84,DessousMoyenne,"182,775",Non,Non,Plus7Absences,Moyen,2,DessusMoyenne,"2,03125",DessousMoyenne
Lycee,Anglais,Mere,65,DessusMoyenne,"46,775",75,DessusMoyenne,"54,79792",23,DessousMoyenne,"37,91875",80,DessusMoyenne,"43,28333",243,DessusMoyenne,"182,775",Oui,Oui,Moins7Absences,Eleve,3,DessusMoyenne,"2,03125",DessusMoyenne
Lycee,Informatique,Mere,70,DessusMoyenne,"46,775",69,DessusMoyenne,"54,79792",35,DessousMoyenne,"37,91875",30,DessousMoyenne,"43,28333",204,DessusMoyenne,"182,775",Oui,Oui,Moins7Absences,Eleve,3,DessusMoyenne,"2,03125",DessusMoyenne
College,Informatique,Pere,39,DessousMoyenne,"46,775",40,DessousMoyenne,"54,79792",11,DessousMoyenne,"37,91875",33,DessousMoyenne,"43,28333",123,DessousMoyenne,"182,775",Non,Non,Moins7Absences,Moyen,2,DessusMoyenne,"2,03125",DessousMoyenne
College,Informatique,Pere,22,DessousMoyenne,"46,775",30,DessousMoyenne,"54,79792",10,DessousMoyenne,"37,91875",12,DessousMoyenne,"43,28333",74,DessousMoyenne,"182,775",Oui,Oui,Plus7Absences,Bas,1,DessousMoyenne,"2,03125",DessousMoyenne
College,Informatique,Pere,29,DessousMoyenne,"46,775",22,DessousMoyenne,"54,79792",9,DessousMoyenne,"37,91875",20,DessousMoyenne,"43,28333",80,DessousMoyenne,"182,775",Oui,Oui,Moins7Absences,Moyen,2,DessusMoyenne,"2,03125",DessousMoyenne
College,Mathematiques,Pere,11,DessousMoyenne,"46,775",2,DessousMoyenne,"54,79792",2,DessousMoyenne,"37,91875",8,DessousMoyenne,"43,28333",23,DessousMoyenne,"182,775",Non,Non,Moins7Absences,Bas,1,DessousMoyenne,"2,03125",DessousMoyenne
College,Anglais,Pere,19,DessousMoyenne,"46,775",30,DessousMoyenne,"54,79792",26,DessousMoyenne,"37,91875",19,DessousMoyenne,"43,28333",94,DessousMoyenne,"182,775",Oui,Non,Plus7Absences,Moyen,2,DessusMoyenne,"2,03125",DessousMoyenne
College,Informatique,Pere,12,DessousMoyenne,"46,775",0,DessousMoyenne,"54,79792",6,DessousMoyenne,"37,91875",13,DessousMoyenne,"43,28333",31,DessousMoyenne,"182,775",Non,Non,Moins7Absences,Bas,1,DessousMoyenne,"2,03125",DessousMoyenne
College,Coran,Mere,50,DessusMoyenne,"46,775",90,DessusMoyenne,"54,79792",29,DessousMoyenne,"37,91875",60,DessusMoyenne,"43,28333",229,DessusMoyenne,"182,775",Oui,Oui,Moins7Absences,Moyen,2,DessusMoyenne,"2,03125",DessousMoyenne
Lycee,Informatique,Mere,15,DessousMoyenne,"46,775",70,DessusMoyenne,"54,79792",37,DessousMoyenne,"37,91875",44,DessusMoyenne,"43,28333",166,DessousMoyenne,"182,775",Oui,Oui,Moins7Absences,Moyen,2,DessusMoyenne,"2,03125",DessousMoyenne
Lycee,Informatique,Pere,20,DessousMoyenne,"46,775",80,DessusMoyenne,"54,79792",33,DessousMoyenne,"37,91875",33,DessousMoyenne,"43,28333",166,DessousMoyenne,"182,775",Oui,Oui,Moins7Absences,Moyen,2,DessusMoyenne,"2,03125",DessousMoyenne
Lycee,Coran,Pere,13,DessousMoyenne,"46,775",3,DessousMoyenne,"54,79792",11,DessousMoyenne,"37,91875",9,DessousMoyenne,"43,28333",36,DessousMoyenne,"182,775",Non,Non,Plus7Absences,Bas,1,DessousMoyenne,"2,03125",DessousMoyenne
College,Mathematiques,Mere,80,DessusMoyenne,"46,775",90,DessusMoyenne,"54,79792",49,DessusMoyenne,"37,91875",55,DessusMoyenne,"43,28333",274,DessusMoyenne,"182,775",Oui,Non,Moins7Absences,Eleve,3,DessusMoyenne,"2,03125",DessusMoyenne
College,Mathematiques,Pere,8,DessousMoyenne,"46,775",15,DessousMoyenne,"54,79792",10,DessousMoyenne,"37,91875",40,DessousMoyenne,"43,28333",73,DessousMoyenne,"182,775",Oui,Non,Moins7Absences,Bas,1,DessousMoyenne,"2,03125",DessousMoyenne
MaternelleElementaire,Informatique,Pere,8,DessousMoyenne,"46,775",25,DessousMoyenne,"54,79792",1,DessousMoyenne,"37,91875",70,DessusMoyenne,"43,28333",104,DessousMoyenne,"182,775",Non,Non,Plus7Absences,Bas,1,DessousMoyenne,"2,03125",DessousMoyenne
MaternelleElementaire,Informatique,Pere,7,DessousMoyenne,"46,775",5,DessousMoyenne,"54,79792",2,DessousMoyenne,"37,91875",80,DessusMoyenne,"43,28333",94,DessousMoyenne,"182,775",Oui,Oui,Plus7Absences,Bas,1,DessousMoyenne,"2,03125",DessousMoyenne
MaternelleElementaire,Informatique,Pere,7,DessousMoyenne,"46,775",4,DessousMoyenne,"54,79792",10,DessousMoyenne,"37,91875",50,DessusMoyenne,"43,28333",71,DessousMoyenne,"182,775",Non,Oui,Plus7Absences,Moyen,2,DessusMoyenne,"2,03125",DessousMoyenne
MaternelleElementaire,Informatique,Pere,50,DessusMoyenne,"46,775",70,DessusMoyenne,"54,79792",50,DessusMoyenne,"37,91875",10,DessousMoyenne,"43,28333",180,DessousMoyenne,"182,775",Oui,Oui,Plus7Absences,Eleve,3,DessusMoyenne,"2,03125",DessusMoyenne
MaternelleElementaire,Informatique,Pere,1,DessousMoyenne,"46,775",0,DessousMoyenne,"54,79792",1,DessousMoyenne,"37,91875",12,DessousMoyenne,"43,28333",14,DessousMoyenne,"182,775",Non,Non,Plus7Absences,Bas,1,DessousMoyenne,"2,03125",DessousMoyenne
MaternelleElementaire,Informatique,Pere,70,DessusMoyenne,"46,775",12,DessousMoyenne,"54,79792",40,DessusMoyenne,"37,91875",50,DessusMoyenne,"43,28333",172,DessousMoyenne,"182,775",Oui,Oui,Moins7Absences,Eleve,3,DessusMoyenne,"2,03125",DessusMoyenne
MaternelleElementaire,Informatique,Pere,19,DessousMoyenne,"46,775",70,DessusMoyenne,"54,79792",3,DessousMoyenne,"37,91875",50,DessusMoyenne,"43,28333",142,DessousMoyenne,"182,775",Non,Non,Moins7Absences,Bas,1,DessousMoyenne,"2,03125",DessousMoyenne
MaternelleElementaire,Informatique,Pere,3,DessousMoyenne,"46,775",12,DessousMoyenne,"54,79792",4,DessousMoyenne,"37,91875",33,DessousMoyenne,"43,28333",52,DessousMoyenne,"182,775",Non,Non,Moins7Absences,Bas,1,DessousMoyenne,"2,03125",DessousMoyenne
MaternelleElementaire,Informatique,Pere,5,DessousMoyenne,"46,775",20,DessousMoyenne,"54,79792",1,DessousMoyenne,"37,91875",50,DessusMoyenne,"43,28333",76,DessousMoyenne,"182,775",Oui,Oui,Plus7Absences,Bas,1,DessousMoyenne,"2,03125",DessousMoyenne
MaternelleElementaire,Informatique,Pere,4,DessousMoyenne,"46,775",8,DessousMoyenne,"54,79792",10,DessousMoyenne,"37,91875",60,DessusMoyenne,"43,28333",82,DessousMoyenne,"182,775",Oui,Oui,Plus7Absences,Bas,1,DessousMoyenne,"2,03125",DessousMoyenne
MaternelleElementaire,Informatique,Pere,80,DessusMoyenne,"46,775",90,DessusMoyenne,"54,79792",55,DessusMoyenne,"37,91875",19,DessousMoyenne,"43,28333",244,DessusMoyenne,"182,775",Oui,Oui,Moins7Absences,Eleve,3,DessusMoyenne,"2,03125",DessusMoyenne
